z,ra,dec
  0.070920,234.69224,7.1444924
  0.070926,138.01106,1.6491344
  0.070960,148.08413,2.261477
  0.070977,357.35653,0.40656625
  0.070988,203.54772,9.8894199
  0.070998,24.167759,-8.4774293
  0.070999,192.87413,3.0385116E-3
  0.071007,351.17032,-9.8980305
  0.071046,198.34863,0.95849705
  0.071063,193.21589,-2.2042864
  0.071094,9.6205581,0.09748521
  0.071101,9.7066501,0.0831363
  0.071112,235.72112,6.7036507
  0.071123,193.22154,-2.1762098
  0.071139,153.65476,0.34150767
  0.071156,148.52875,2.5570255
  0.071161,9.6440684,-2.7176879E-3
  0.071171,189.71067,6.1718808
  0.071174,329.94631,0.99512356
  0.071177,127.82224,8.1386873
  0.071211,327.55458,0.60054354
  0.071211,189.52617,9.563696
  0.071228,198.28425,4.7466428
  0.071230,194.44696,3.3486401
  0.071240,5.0783262,-0.07464298
  0.071251,165.96335,7.6181925
  0.071275,160.59467,1.1263466
  0.071286,200.5999,7.6554205
  0.071288,156.88212,3.6639726
  0.071296,225.98858,-2.3333386
  0.071302,236.5902,8.6969772
  0.071312,234.52939,6.5798973
  0.071313,235.05337,7.0077482
  0.071313,347.03847,0.17603818
  0.071313,357.27246,0.3809796
  0.071318,165.15866,7.2085134
  0.071344,229.1495,0.16661312
  0.071345,154.79127,4.8822144
  0.071356,153.98041,0.02281678
  0.071358,148.59808,3.12337
  0.071370,155.54229,0.40604419
  0.071372,193.1669,8.0805181
  0.071376,167.88506,9.0724985
  0.071379,158.82989,3.8739611
  0.071379,134.63766,3.9806209
  0.071403,134.42328,0.98190055
  0.071407,165.83505,7.5127844
  0.071407,163.94753,6.6399645
  0.071416,9.7477055,0.10185519
  0.071424,237.15471,8.1091856
  0.071430,14.166225,0.14122689
  0.071431,132.7379,5.6222387
  0.071459,45.13062,1.0360625
  0.071460,324.61298,0.55308834
  0.071475,155.67305,0.57537207
  0.071487,201.36356,8.1042269
  0.071502,237.47077,8.6250981
  0.071550,187.59713,-1.6256075
  0.071552,38.248298,-0.32104664
  0.071564,205.87214,0.19457905
  0.071565,184.25238,-0.16354666
  0.071569,135.3873,2.811419
  0.071582,133.47927,3.7357905
  0.071585,200.70817,7.7101073
  0.071587,162.04704,5.0615834
  0.071592,134.75671,3.129047
  0.071594,153.96871,0.08832326
  0.071603,228.90959,0.17561408
  0.071618,195.89462,2.7720112
  0.071673,206.26732,-1.2629054
  0.071673,128.35122,7.9687424
  0.071686,6.3074649,0.40768702
  0.071697,194.31544,3.3054682
  0.071721,163.36169,6.1322245
  0.071727,133.66636,1.613709
  0.071768,153.8019,0.96143217
  0.071768,13.027984,1.0212934
  0.071785,336.36631,-9.7786804
  0.071795,205.58419,3.3312787
  0.071821,121.7094,8.3028889
  0.071821,167.16991,-0.18858079
  0.071821,43.134326,-0.04781781
  0.071822,153.80981,2.1983092
  0.071832,312.93772,-0.71539563
  0.071835,167.40265,-0.87183886
  0.071835,136.48211,3.1004346
  0.071848,196.0104,2.7496766
  0.071855,197.50835,1.47785
  0.071875,165.18403,4.7894295
  0.071889,185.22573,8.2769813
  0.071893,122.72426,5.9284623
  0.071908,163.74957,9.1907677
  0.071909,140.96355,5.1949178
  0.071935,131.97652,5.7013249
  0.071938,185.09263,-0.680136
  0.071966,336.394,-9.6492981
  0.071968,132.24678,5.9320153
  0.071972,122.9014,3.4841219
  0.071973,161.66128,2.5330662
  0.072008,156.13372,3.019725
  0.072011,155.82197,1.9685928
  0.072026,199.59266,6.6358166
  0.072039,185.36824,7.6948149
  0.072042,38.936295,-0.18816621
  0.072049,205.84489,1.0917911
  0.072077,159.90188,1.766875
  0.072081,160.84469,0.97613123
  0.072084,185.34474,-2.1523223
  0.072089,161.67462,4.1080396
  0.072110,223.98694,-1.8673104
  0.072112,145.81436,2.9496342
  0.072115,205.83241,1.6965329
  0.072133,177.45355,6.2951657
  0.072140,336.87387,-9.2736034
